프레임	영역	컴포넌트	상태/변형	주요 텍스트	인터랙션	연동 API	비고
로그인	로그인 카드	아이디 입력	기본/오류	아이디	사용자 입력	POST /api/auth/login	고객/관리자 공용 로그인
로그인	로그인 카드	비밀번호 입력	기본/오류	비밀번호	사용자 입력	POST /api/auth/login	오류 시 메시지 표시
로그인	로그인 카드	로그인 버튼	기본/로딩	로그인	성공 시 role에 따라 이동	POST /api/auth/login	CUSTOMER는 /, ADMIN은 /admin
고객 예약	상단 히어로	소개 카드	기본	1인 미용실 예약관리 서비스	서비스 목적 설명	없음	디자인 교체 예정 영역
고객 예약	시술 선택	카테고리 필터	전체/컷/펌/염색/클리닉	카테고리 선택	선택 시 시술 목록 필터링	GET /api/services	포트폴리오에서 한국형 미용실 느낌 강조
고객 예약	시술 선택	시술 카드	카테고리별	시술명, 가격, 소요시간, 설명	선택 시 예약 폼 시술값 반영	GET /api/services	카드형 UI 권장
고객 예약	예약 폼	날짜 입력	가능/휴무	예약 날짜	날짜 변경 시 시간 재조회	GET /api/services/{id}/available-slots	휴무일이면 버튼 비활성화
고객 예약	예약 폼	시간 선택	가능/없음	예약 시간	시간 선택	GET /api/services/{id}/available-slots	중복 시간은 노출하지 않음
고객 예약	예약 폼	고객 정보 입력	기본/오류	이름, 이메일, 연락처	입력 검증	POST /api/reservations	필수값 누락 시 메시지
고객 예약	예약 폼	노쇼 안내 체크	미동의/동의	예약 시간을 지키겠습니다	체크해야 신청 가능	POST /api/reservations	결제/예약금 제외한 노쇼 방지 장치
고객 예약	예약 폼	예약 신청 버튼	비활성/활성/처리중	예약 신청하기	예약 생성	POST /api/reservations	성공 시 REQUESTED 안내
관리자	상단 대시보드	요약 카드	기본	예약 관리, 가격 수정, 휴무일 관리	관리 기능 진입	GET /api/reservations	고객 화면과 시각적으로 분리
관리자	예약 목록	예약 카드	REQUESTED	대기	확정/취소 버튼 표시	PATCH /api/reservations/{id}/status	확정 전 상태에서만 취소 가능
관리자	예약 목록	예약 카드	CONFIRMED	확정	완료/노쇼 버튼 표시	PATCH /api/reservations/{id}/status	방문 결과 처리
관리자	예약 목록	예약 카드	CANCELED/COMPLETED/NO_SHOW	종료 상태	상태 버튼 숨김	없음	상태 역전환 방지
관리자	가격 관리	가격 입력 행	기본/저장중	시술명, 현재 가격, 새 가격	가격 저장	PATCH /api/services/{id}/price	관리자만 접근
관리자	휴무일 관리	휴무 등록 폼	기본/등록됨	휴무 날짜, 사유	등록/수정	POST /api/holidays	휴무일 예약 차단
관리자	휴무일 관리	휴무 목록	기본	휴무일, 사유	삭제	DELETE /api/holidays/{date}	삭제 후 예약 가능
관리자	노쇼 방지	알림 대상 목록	대상 있음/없음	예약 전 확인 안내 필요	관리자가 연락 대상 확인	GET /api/reservations/reminder-targets	실제 문자 발송은 추후 확장
